;
1011001;Dengan Menyebut Nama Allah
1011002;Shalawat Washilah
1011003;Shalawat Badar
1011004;Shalawat Ambiya
1011005;Shalawat Sa'adah
1011006;Shalawat Badriyah
1011007;Shalawat Al-Yasin
1011008;Shalawat Luthfi
1011009;Hifdul Qur'an
1011010;Shalawat Mustofa
1011011;Shalawat Addaroji
1011012;Shalawat Habib
1011013;Shalawat Thoun
1011014;Sepi
1011015;Maha Besar Allah
1011016;Amanah
1011017;Rezeki
1011018;Ku Berjanji
1011019;Ya Allah. Ya Tuhanku
1011020;Muhammad Rasulullah
1011021;Terjadi
1011022;Allahu Akbar
1011023;Sang Pencipta
1011024;Kembalilah
1011025;Taubat
1011027;Rindu Ramadhan
1011029;KepadaMu Ya Allah
1011030;Hanya Tuhan
1011031;Dalam Sujudku
1011032;Terima Kasih
1011033;Illahi
1011034;Istighfar
1011035;Ketika Tangan dan Kaki Berkata
1011036;Selamat Hari Lebaran
1011037;Ibu
1011040;Gejolak
1011042;Dilema
1011043;Kodrat
1011044;Talenta
1011045;Mengapa Begini
1011047;Thola'al Badru
1011048;Shalawat Badar
1011049;Laa Ilaha Illallah
1011050;Bersatulah
1011051;Kiamat
1011052;Keramat
1011053;Yatim Piatu
1011054;Hari Berbangkit
1011055;Malapetaka
1011056;Taqwa
1011057;Lebaran
1011058;Lailatul Qodar
1011059;Sahur
1011060;Keagungan Tuhan
1011061;Mudik
1011062;Jilbab
1011063;Ya Abaz-Zahro
1011064;Ummi
1011065;Nurul Musthofa
1011066;Ya Sayyidi Ya Rasulullah
1011067;Annabiy Shollu Alaih
1011068;Assalamu Alaik
1011069;Yaa Ghoffar
1011070;Amam Wardatul Jamal
1011071;Bulbul
1011072;Laktib
1011073;Wulidal Habib
1011074;Ilhalawah
1011075;Ya Ilahal AlWilhubamina (Munajah)
1011076;Wilhub
1011077;Zayyi Tiski
1011078;Khana Ghalbi
1011079;Lebaran
1011080;Tuhan
1011081;Anak Bertanya Pada Bapaknya
1011082;Lebaran Sebentar Lagi
1011083;Balada Nabi Ibrahim
1011084;Hidup Dan Pesan Nabi
1011085;Tlah Datang Dia
1011086;Umat Manusia Bergembira. Matahari Dan Rembulan (Medley)
1011087;Rindu Rosul
1011088;Dikaulah Tuhanku Terindah
1011089;Wudhu
1011090;Pinjaman Tanpa Bunga
1011091;Setiap Habis Ramadhan
1011092;Bermata Tapi Tak Melihat
1011093;Wukuf Di Arafah
1011094;Jangan Ditunda-Tunda
1011095;Mekkah Al Mukaramah
1011096;Anak Bertanya Tentang Rasul
1011097;Sajadah Panjang
1011098;Lailatul Qodar
1011099;Rasul Hancurkan Berhala
1011102;Sifat 20
1011103;Rakan Selawat (Maulid)
1011104;Taubat
1011105;Rayuan Rindu
1011106;Ya Thoybah
1011107;Akhlaaqul Karimah
1011108;Ya Robbi Bil Musthofa Yaa Rasulullaah Salamun' Alaik
1011109;Inna Filjannati
1011110;Asma Ul Husna
1011111;Lil Abi Wal Ummi
1011112;Ya Nabi Salam Alaika
1011113;Sholawat Badar
1011114;Al I'tirof
1011115;Assulatziyyatul Al-Muqoddasah
1011116;Yaa Badrotim
1011117;Zhoofir Yabnal Batoul
1011118;Da'uuni
1011119;Assholawaatul Qur'aniyyah
1011120;Yaa Allah Yaa Azhiim
1011121;Ya Banil Musthofa
1011122;Marhaban Ya Romadhon
1011123;Birosulillah Wal Badawie
1011124;Huwannur
1011125;Alal Madinah
1011126;Ya Khoiro Maulud
1011127;Isyfa 'Lana
1011128;Robbi Faj'alna Minal Akhyar
1011129;Yatim
1011130;Kalam Qodim
1011131;Gandrung
1011132;Wasiat
1011133;Bilalku
1011134;Doa'Ku
1011135;Ling-Eling
1011136;Kanjeng Rasul
1011138;Rindu
1011140;Taubat (Jawa)
1011141;Rizqi Kathah (Jawa)
1011142;Khusnul Khotimah (Jawa)
1011143;Ayo Sholat (Jawa)
1011144;Amar Ma'ruf (Jawa)
1011145;Ono Sebabe (Jawa)
1011146;Surgo Neroko (Jawa)
1011147;Urip Mung Sedelo (Jawa)
1011148;Taubat (Jawa)
1011149;Joko Pentil (Jawa)
1011150;Cublek-Sublek Suweng (Jawa)
1011151;Dosa Tak Terhitung (Jawa)
1011152;Sholawat Badar
1011153;Iyon-Iyon Badan (Jawa)
1011154;Sluku-Sluku Batok (Jawa)
1011155;Ya Robbi Sholli 'Ala
1011156;Panggilan Nabi
1011157;Galunggung
1011158;Indung Indung
1011159;Maghadir
1011160;Selimut Putih
1011161;Panggilan Ka'bah
1011162;Thola'al Badru
1011163;Mari Oh Mari (Hamawi Ya Mismis)
1011164;Mawar Indah
1011165;Salamin Ba'id
1011166;Ya Dana Dana
1011167;Pintu Surga
1011170;Rapuh
1011171;Di Pintu Langit
1011172;Ya Rabbana
1011173;Syukurku
1011174;Maafkan Ingkarku
1011175;Demi Matahari
1011176;Jejak Surga
1011177;Taubat
1011178;Sambut Panggilan-Nya
1011179;Antara Mekkah & Madinah
1011180;Aku Di Sini
1011182;Kuatkan Aku
1011183;Padamu Ku Bersujud
1011184;Hanya PadaMu
1011185;Cinta Di Atas Cinta
1011186;Ibu
1011187;Doa Dan Harapan
1011188;CahayaMu
1011189;PH (Permaisuri Hatiku)
1011190;KAHJ
1011191;Bimer (Bibir Merah)
1011192;PetunjukMu
1011193;Jagalah Hati
1011194;Kalimatut Thoyibah
1011195;Sujud
1011196;Ya Ramadhan
1011197;Bismillah
1011198;Assholatu
1011199;Khusnul Khotimah
1011200;Ya Robbana Ya Karim
1011201;Ya Rosulullah
1011202;Pesan Rosul
1011203;Minal A'idzin
1011204;Bijak Ya Robbi
1011205;Ya Robbi
1011206;Berdzikir
1011207;Amanah Nabi
1011208;Tuhan
1011209;Ayo Sholat
1011210;Ya Allah
1011211;Sholawat Badar
1011212;Shalawat Nabi
1011213;Obat Hati
1011214;Jalan Kebenaran
1011216;Jalan Lurus
1011217;Cinta Yang Tulus
1011218;Buta Tuli
1011219;Bersatulah
1011220;Bencana
1011221;Kiamat
1011222;Hari Raya
1011223;Setan Pasti Kalah
1011224;Harga Diri
1011225;Terserah Kita
1011226;Baca
1011227;Pesta Pasti Berakhir
1011228;Hidup Hanya Sementara
1011229;CahayaMu
1011230;Doa Yang Terlupakan
1011231;Mari Sholawat
1011232;Hanya Kau
1011234;Maha Besar
1011235;Keagungan Tuhan
1011237;Beribadah Yok
1011238;Maha Melihat
1011239;Anugrah Aidil Fitri
1011240;Mekar Hari Raya
1011241;Meriah Suasana Hari Raya
1011242;Bila Hari Raya Menjelma
1011243;Sesuci Lebaran
1011244;Suara Takbir
1011245;Nazam Lebaran
1011246;Air Mata Syawal
1011247;Nikmat Hari Raya
1011248;Aidil Fitri Di Alaf Baru
1011249;MemujaMu
1011250;KebesaranMu
1011251;Tomat (Tobat Maksiat)
1011252;Akhirnya
1011253;Jangan Tinggalkan
1011256;Pencari Jalan-Mu
1011271;Tuhan
1011272;Ya Allah
1011273;Aku Cinta Allah
1011274;Jadikan Kami Anak Yang Sholeh
1011275;Muhammad Nabiku
1011276;Sambut Rahmat-Nya
1011277;Jagalah Sholatmu
1011278;Mencinta Nabi
1011279;Engkau Teladanku
1011280;Selamat Datang Kekasih
1011281;Tuhan Dengarlah Keluhku
1011282;Ibu
1011293;Dzikir Anak
1011294;Y Thoybah
1011295;Ibu
1011296;Nabiyyal Huda
1011297;Kun Ma'iy
1011298;Rindu Bertemu Nabi
1011299;Da'uniy
1011300;Alfu Salam
1011301;Ya Ala Baitin Nabi
1011302;Ya Imamar Rusli
1011303;Ya Robbi Ya Rohman
1011307;Sepanjang Hidup
1011308;Tempat Yang Termulia
1011348;Ku MilikMu
1011349;Tuntunku KepadaMu
1011360;Ayah Bunda
1011361;Manusia Gila
1011362;Pasrah Diri
1011363;Ya Zahro
1011364;Pengakuan
1011365;Ya Robbi Ya Rohman
1011367;Allah Allahu
1011368;Dengan IzinNya Ku Beribadah
1011369;Alhamdulillah
1011421;Abatasa
1020001;Malam Kudus (Silent Night)
1020002;Suara Tuhan (Jingle Bell)
1020003;Maha Kudus Yesus (Whispering Hope)
1020004;Natal Suci (White Christmas)
