;
10000106A;Kisah Kasih Di Sekolah
10000360A;Jika Cinta Dia
10000364B;Sementara Biarlah Begini
10000384A;Aku Harus Jujur
10000385A;Cinta Gila
10000449A;Tiada Nama Seindah Namamu
10000450A;Antara Cinta Dan Dusta
10000451A;Hancur Hatiku
10000452A;Ada Dia Di Antara Kita
10000453A;Kau Tercipta Bukan Untukku
10000454A;Birunya Cintaku
10000455A;Bunyikan Suara Hati
10000457A;Aduh Rindu
10000458A;Antara Hitam Dan Putih
10000459A;Elegi Rinduku
10000460A;Hitam Putih Fotomu
10000461A;Kau Dan Aku Satu
10000463A;Mungkinkah Ini Nasibku
10000465A;Penyesalan
10000466A;Pernahkah Dulu
10000467A;Untukmu Bahagia
10000720A;Sandiwara Cinta
10000721A;Suara Hatiku
10000724A;Tinggallah Ku Sendiri
10000725B;Matahariku
10000733B;Bintang Kehidupan
10000811A;Empat Mata
10000816A;Sahabat Kecil
10000845A;C.I.N.T.A
10000856A;Walau Tak Bisa Ku Miliki
10000871A;Dua Cincin
10000979A;Sayang
10000984A;Cinta Satu Malam
10001018B;Jangan Salahkan Siapa
10001028A;Kemenangan Cinta
10001101A;Terbakar Cemburu
10001106A;Terlalu
10001108A;Aku Tak Biasa
10001111A;Dawai Asmara
10001113A;Percaya Padaku
10001114A;Saat Bahagia
10001149A;Dirimu Satu
10001189P;Mimpi Burukku
10001196A;Bermain Dengan Hatiku
10001222A;Dia Atau Diriku
10001290A;Kumenanti Seorang Kekasih
10001359A;Kau Yang Memilih Aku
10001375A;Dosa Apa
10001383A;Ayat Ayat Cinta
10001386A;Demi Waktu
10001401A;Tak Rela
10001406A;Aku Yang Tersakiti
10001433A;Rumah Cinta
10001509B;Cinta Tak Harus Bersatu
10001516A;Doaku Untukmu Sayang
10001541A;Kecanduan
10001583A;Menemukanmu
10001607A;Apa Bisa
10001614A;Apalah Arti Menunggu
10001636A;Hidup Tapi Mati
10001638A;Maafkan
10001673A;Kau Tercipta Bukan Untukku
10001719A;Yogyakarta
10001728A;Seluruh Nafas Ini
10001746B;Dia Masih Sendiri
10001748P;Alamat Palsu (Remix Dangdut Koplo)
10001776A;Sesuatu
10001788A;Aw Aw
10001812B;Aku Bukan Pilihan
10001843P;Menjemput Impian
10001852B;Guru Oemar Bakrie
10001863B;Lupakan Mantan
10001868A;Selalu Salah
10001871A;Demam Ayu Ting Ting
10001892A;Tak Sanggup Lagi
10001894B;Surat Buat Wakil Rakyat
10001898A;Galau
10001899A;Terlalu Cinta
10001905A;Asmara
10001920A;Melekat Di Jiwa
10001968A;Aku Kehilanganmu
10002013A;Kangen
10002018A;Aku Milikmu
10002046A;Sandiwara Cinta
10002087A;Apa Kabar Sayang
10002092B;1 Jam
10002094A;Manusia Sejuta Perkara
10002113A;Belum Ada Judul
10002115B;Lupa Ingatan
10002118P;Aku Dan Kamu (Tuhan Yang Tahu)
10002122A;Kau Anggap Apa
10002135A;Apa Sih Maumu
10002203A;Aku Baik-Baik Saja
10002207A;Berondong Tua
10002211P;Pilihan Hatiku
10002234A;Kecuali Kamu
10002241A;Bebek Ngambang
10002250P;Luka Dan Cinta
10002270A;Tenda Biru
10002278A;Mama Papa Larang
10002279A;Setia Selamanya
10002292A;Separuh Nafas
10002335A;Cinta Sejati
10002363B;Sudah Cukup Sudah
10002365A;Kata Pujangga
10002408A;Berlian
10002416A;Bye Bye Lagi
10002461P;Inspirasi Sahabat
10002488A;Love You Kamu
10002494A;Jodoh Pasti Bertemu
10002499A;Aku Yang Terluka
10002511A;Terpukau
10002550P;Setahun Lalu
10002567B;Bidadari Surga
10002569A;Lebih Baik Sakit Gigi
10002575A;Cinta Tapi Gengsi
10002576A;Hati Yang Luka
10002580P;Geregetan
10002596A;Si Udin Bertanya
10002620A;Lumpuhkan Ingatanku
10002659A;Untukmu Aku Bertahan
10002688P;KekasihMu
10002696A;1000 Alasan
10002708P;Pilu
10002719P;Gadis Bukan Perawan
10002727B;Masihkah Mungkin
10002729B;Suamiku Kawin Lagi
10002732A;Ajari Aku Tuhan
10002767A;Sumpah Mati
10002768A;Ayah
10002769A;It's You
10002770B;Ga Tahan Lagi
10002771B;Bukan Cinderela
10002772A;Goyang Ratu Kipas
10002773B;Jokowi
10002774A;Satu Hati
10002775A;Tahu Tempe
10002776A;ABG Palsu
10002778B;Isabella (Koplo)
10002779A;Mucikari Cinta
10002780A;Kau Harus Bahagia
10002781A;Mimpi Jadi Kenyataan
10002782A;Tak Tepat Waktu
10002783A;Lo Gue End
10002784B;Cintaku Istimewa
10002785A;Cantik
10002786B;Gerangan Cinta
10002787A;Saat Kau Inginkan Aku
10002788A;Sepatu
10002789A;Peri Hati
10002790B;Kau Bukan Segalanya
10002791A;Maaf
10002792A;Sisa Semalam
10002793B;Nyai Ronggeng (Koplo)
10002794B;Basah Basah (Koplo)
10002795A;Aku Memilih Setia
10002797A;Fortune Cookie in Love
10002798A;Aku Memilih Setia
10002799A;Tuk Buatku Kembali
10002800A;Pemberi Harapan Palsu 
10002801B;Pura-Pura Cinta 
10002802A;Mengapa 
10002803A;Flying To The Moon 
10002804A;Hanya Aku Lelaki Setia 
